,id,name,lat,lon,amenity,opening_hours,website,phone,cuisine
0,661339,Café Hölzl,48.1039393,11.4882546,cafe,Mo-Fr 10:00-17:30; Sa-Su 11:00-17:30,"[nan, nan, nan, nan]",,"[nan, nan, nan]"
1,34072038,Franziskaner Garten,48.1093154,11.6707224,restaurant,Mo-Su 10:00-24:00,"['http://www.franziskanergarten.de/', nan, nan, nan]",,"['bavarian', nan, nan]"
2,59933811,Bistro Trattoria La Giara,48.1891617,11.5813153,restaurant,,"[nan, nan, nan, nan]",,"[nan, nan, nan]"
3,59934326,L'angolo,48.1870892,11.5839973,restaurant,Mo-Fr 11:00-24:00; Sa 17:00-24:00; Su closed,"[nan, nan, nan, nan]",,"['italian', nan, nan]"
4,59939872,Tai China Imbiss,48.1816244,11.5845779,restaurant,,"['http://www.thai-china.de', nan, nan, nan]",+49 89 3590657,"['chinese', nan, nan]"
5,60013073,Ratskeller,48.1373943,11.5760552,restaurant,Mo-Su 10:00-24:00,"[nan, 'http://www.ratskeller.com', nan, nan]",,"[nan, nan, nan]"
6,77925557,Bistro Lange Ltd.,48.1883367,11.5871486,restaurant,Mo-Fr 08:30-16:00,"['http://www.lange-gastronomie.de/', nan, nan, nan]",+49 89 35 09 58 38,"[nan, nan, nan]"
7,82772298,Augustiner Bräustuben,48.1392055,11.5456469,restaurant,Mo-Su 10:00-24:00,"[nan, 'http://www.braeustuben.de', nan, nan]",,"['bavarian', nan, nan]"
8,82772299,Peaches,48.1469522,11.5349382,restaurant,Mo-Su 19:00-01:00,"[nan, 'http://www.peaches-neuhausen.de/', nan, nan]",,"['american', nan, nan]"
9,82772303,Gerners,48.1685597,11.5265046,restaurant,Mo-Su 09:00-01:00,"[nan, 'http://www.gerners-muenchen.de/', nan, nan]",,"['international', nan, nan]"
10,86673907,Haidhauser Augustiner,48.1293429,11.6013051,restaurant,Mo-Su 10:00-01:00,"[nan, 'https://haidhauser-augustiner.de/', nan, nan]",,"['bavarian', nan, nan]"
11,92666832,Augustiner Schützengarten,48.1042541,11.5344051,restaurant,Mo-Su 11:00-24:00,"[nan, 'http://augustiner-schuetzengarten.de', nan, nan]",,"['bavarian', nan, nan]"
12,100269010,Gutshof Menterschwaige,48.0817888,11.5451926,restaurant,Su-Sa 11:00-00:00,"[nan, 'http://www.menterschwaige.de', nan, nan]",,"['german', nan, nan]"
13,108292355,San Martino,48.1396234,11.6816237,restaurant,"Mo-Fr 12:00-14:30, 18:00-22:30","['https://www.landhotel-martinshof.com/', nan, nan, nan]",+49 89 92208444,"['italian', nan, nan]"
14,129970464,La Romantica,48.1385228,11.6482856,restaurant,"Mo-Sa 11:30-14:30, 15:30-23:30","[nan, nan, nan, nan]",,"['italian', nan, nan]"
15,135611656,Tassilogarten,48.1232444,11.5953957,restaurant,"Su-Sa 10:00-00:00, 10:00-23:30","['https://www.tassilogarten.de/', nan, nan, nan]",,"[nan, nan, nan]"
16,138009689,Gasthof Hinterbrühl,48.0860693,11.5402277,restaurant,Su-Sa 10:00-23:59,"['http://www.gasthof-hinterbruehl.de/', nan, nan, nan]",+49 89 794494,"['bavarian', nan, nan]"
